line,count,isBusytime,isWorkday,isIn,isOK,hour,min,label
1,2,0,0,1,0,5,7,2
1,3,0,0,1,0,5,8,2
1,2,0,0,1,0,5,12,2
1,1,0,0,1,0,5,13,2
1,2,0,0,1,0,5,15,2
1,1,0,0,1,0,5,16,2
1,1,0,0,1,0,5,18,2
1,1,0,0,1,0,5,19,2
1,1,0,0,1,0,5,20,2
1,4,0,0,1,0,5,24,2
1,1,0,0,1,0,5,26,2
1,2,0,0,1,0,5,28,2
1,1,0,0,1,0,5,29,2
1,1,0,0,1,0,5,32,2
1,3,0,0,1,0,5,34,2
1,2,0,0,1,0,5,35,2
1,6,0,0,1,0,5,37,2
1,1,0,0,1,0,5,38,2
1,1,0,0,1,0,5,42,2
1,1,0,0,1,0,5,43,2
1,1,0,0,1,0,5,44,2
1,2,0,0,1,0,5,45,2
1,5,0,0,1,0,5,47,2
1,3,0,0,1,0,5,50,2
1,1,0,0,1,0,5,51,2
1,2,0,0,1,0,5,52,2
1,2,0,0,1,0,5,53,2
1,1,0,0,1,0,5,55,2
1,3,0,0,1,0,5,56,2
1,3,0,0,1,0,5,57,2
1,1,0,0,1,0,5,58,2
1,2,0,0,1,0,5,59,2
1,2,0,0,1,0,6,0,2
1,2,0,0,1,0,6,2,2
1,8,0,0,1,0,6,3,2
1,4,0,0,1,0,6,4,2
1,1,0,0,1,0,6,6,2
1,1,0,0,1,0,6,7,2
1,5,0,0,1,0,6,8,2
1,6,0,0,1,0,6,9,2
1,1,0,0,1,0,6,10,2
1,2,0,0,1,0,6,11,2
1,4,0,0,1,0,6,13,2
1,3,0,0,1,0,6,14,2
1,2,0,0,1,0,6,15,2
1,2,0,0,1,0,6,16,2
1,1,0,0,1,0,6,17,2
1,3,0,0,1,0,6,18,2
1,2,0,0,1,0,6,19,2
1,1,0,0,1,0,6,20,2
1,1,0,0,1,0,6,21,2
1,1,0,0,1,0,6,22,2
1,2,0,0,1,0,6,23,2
1,2,0,0,1,0,6,24,2
1,3,0,0,1,0,6,25,2
1,4,0,0,1,0,6,26,2
1,2,0,0,1,0,6,28,2
